diocese,dioceseID,year,dioceseInfo
Savannah,sav.ga,1866,"Climate- The soil and the climate of Georgia invite settlers to come here and work to their own advantage the agricultural resources of the State, which are inexhaustible. Catholics are not advised to settle in the midst of sectarian districts, far from any Catholic church, where they and their children would be exposed to the danger of shipwreck in the faith. But if they understand gardening, and have a small capital, they will find, in the vicinity of cities, rich lots, which will repay well their industry."
Savannah,sav.ga,1867,"Climate- The soil and the climate of Georgia invite settlers to come here and work to their own advantage the agricultural resources of the State, which are inexhaustible. Catholics are not advised to settle in the midst of sectarian districts, far from any Catholic church, where they and their children would be exposed to the danger of shipwreck in the faith. But if they understand gardening, and have a small capital, they will find, in the vicinity of cities, rich lots, which will repay well their industry."
Savannah,sav.ga,1868,"Climate- The soil and the climate of Georgia invite settlers to come here and work to their own advantage the agricultural resources of the State, which are inexhaustible. Catholics are not advised to settle in the midst of sectarian districts, far from any Catholic church, where they and their children would be exposed to the danger of shipwreck in the faith. But if they understand gardening, and have a small capital, they will find, in the vicinity of cities, rich lots, which will repay well their industry."
Savannah,sav.ga,1869,"Climate- The soil and the climate of Georgia invite settlers to come here and work to their own advantage the agricultural resources of the State, which are inexhaustible. Catholics are not advised to settle in the midst of sectarian districts, far from any Catholic church, where they and their children would be exposed to the danger of shipwreck in the faith. But if they understand gardening, and have a small capital, they will find, in the vicinity of cities, rich lots, which will repay well their industry."
Savannah,sav.ga,1870,"Climate- The soil and the climate of Georgia invite settlers to come here and work to their own advantage the agricultural resources of the State, which are inexhaustible. Catholics are not advised to settle in the midst of sectarian districts, far from any Catholic church, where they and their children would be exposed to the danger of shipwreck in the faith. But if they understand gardening, and have a small capital, they will find, in the vicinity of cities, rich lots, which will repay well their industry."
StPaul,stp.mn,1867,There are Catholic schools attached to nearly all the churches and chapels throughout the diocese.
StPaul,stp.mn,1868,There are Catholic schools attached to nearly all the churches and chapels throughout the diocese.
StPaul,stp.mn,1869,There are Catholic schools attached to nearly all the churches and chapels throughout the diocese.
Buffalo,buf.ny,1868,There are schools attached to all the German and most of the other churches in the diocese.
Louisville,lou.ky,1869,"In Louisville there are conferences of St. Vincent of Paul, connected with the cathedral, St. John's Church, St, Patrick's, St. Michael's, and St. Louis Bertrand's, numbering in all about 500 members, laboring with great zeal, and doing much good. The German congregations have also benevolent and mutual relief societies. The cathedral congregation has a charitable association of ladies under the title Mary and Martha Society, designed to procure clothing for the children of the poor."
